"April 6, 2017",4," moto-g line always awesome opinion. moto g4 far best phone ever own barebone performance. moto g5 plus though enters whole new realm performance, power, battery life. phone camera samsung s7 active, run 8 core cpu clock high many today's laptops. i've professional work career pocket computer pack 4gb ram, essentially amount ram office pc use. overall zero complaint moto g5 come specs performance.. run graphic design graphic edit application right phone without single hiccup yet make 2 full day constant usage single batter charge. disappoint lenovo discontinue moto waterproof feature offer water repellant features, there's reason nonsense. aside one true complaint nothing moto g5s capabilities. lenovo market g5 metal device, claim false. back metal, whole frame.",positive, 
"April 2, 2017",5," happy first 2 day phone. phone seem quick respond capability expect. upgrade 1 1/2 year old samsung s5. s7 go back s5 seem fast remember phone. go 64gb version also get 4gb ram. don't know make much difference combination work fast fast transfer data old phone cloud backups. 64gb also let put app want while. easy transition feature moto. originally think fingerprint scanner terrible spot turn easy use use instead pattern turn phone. also think waste real estate back home button screen select use fingerprint button swipe replace screen button go back, home see open item gain back screen real estate. actually easy use find button screen. battery life seem reasonable far time tell. 80% 7 hour use today lot data move via wifi phone call usage. go yesterday phone usage wifi. i'm hop battery life turn ok. charge fast. phone work immediately att move sim card old phone. issue hookup. negative vs samsung's: wireless charge water proof. positives: performance good, lot less expensive unlocked.",positive,"['customer service', 'price']"
"April 4, 2017",5," go day need spend $750 top line phone. grant htc m9 come year ago. sense fair comparison. yes htc m9 nfc, phone not. beyond that, pretty similar. screen resolution. 4gb ram instead 3gb. camera m9 mp overall quality camera similar. point i'm try make wait nearly 2 year give comparable phone half cost. moto g5 plus run smoothly sharp look screen. phone would among top line 2015. price anywhere close top line. great value good phone.",positive,['price']
"April 12, 2017",5," purchase phone best buy store 4/09. activated verizon corporate store monday-literally take man 10 minute door everything work great! excellent battery life leave everything on(sync,bluetooth,data,brightness half)streamed music work 8 hrs,surfed internet(including videos) 4 hrs,a call texts,and still 30 percent battery 10pm(started 6am)! great screen,snappy performance,love moto function especially twist camera! fingerprint scanner work flawlessly- set mine thumb 1 index finger set scanner replace screen buttons-what great idea! camera good- i'd say average. call quality good signal strength- data call. bluetooth work perfect- hooked right chevy truck headphones. opinion, anyone look smartphone 300 buck absolutely check phone out!",positive,['customer service']
"April 10, 2017",2," phone great value term build performance. however, suffer major flaw folk buy unlocked version use verizon network. call reception become choppy point phone useable phone. happen even reception outstanding; party hear fine can't hear them. issue document couple place lenovo forums, hopeful fix happen next couple days, take phone back (for second time think hardware issue first get replacement). reboot make problem go away little while, always come back. i've try boot safe mode prevent irq conflicts, avail. bottom line right doesn't work verizon people phone, i'd look something else till issue fixed. it's relatively new phone, maybe happen.",positive,"['price', 'faulty product']"
"April 8, 2017",4," course weaknesses. big one believe screen. isn't brightest, color seem pretty good. also quite mute dull. also isn't bright screen. cellular reception great wifi reception great worst. battery amaze speed ui great. definitely well axon 7 mini even honor 8. especially since work carrier even t-mobile wifi call box! great phone weakness like all.",positive, 
"April 4, 2017",4," think moto hit stride offering cost effective unlocked phones. can't compete like samsung apple anymore come feature integration marketing. they're right offering g series g5 plus fantastic phone $300. phone snappy exactly want do, screen still tad darker i'd like, i've spoil samsungs amoled. doesn't take away tasking, gaming, streaming. jump back forth apps, include youtube twitch, never run bogging down. mechanic might randomly need use flashlight, moto gesture place phone pleasant welcome. simply shake phone twice turn flashlight flick wrist twice- camera come up. don't wrestle screen you're wear work glove camera decent, it's great, you'll find auto focus isn't quick enough there's lot blur move. however it's well phone within price range. still use micro usb charge syncing. dozen cable drawer, it's time commit 100% usb type-c. it's faster, reliable future proof. expect screen camera function $300 phone it's still use micro, it's get 4/5.",positive,"['price', 'faulty product']"
"November 4, 2017",4," get amaze phone less half price flagship phone get 90% speed, screen, ram, memory expandability. however feature cripple that's underreported know feature actually deactivate hate manufacturer provider actually put cost device turn off. moto two ""no-no's"" carrier at&t;'s responsible one. know could deal breaker you. #1 wifi call at&t. that's it, claim device doesn't support it, that's fake news tell carrier it, that's important check carrier vouch 100% at&t; doesn't let phone wi-fi calling. #2 notification light.. well is, disabled notification screen feature. that's nice, easy look screen blink light, actually nudge unit screen briefly turn reveal messages. root device read turned on, haven't do it. #3 nfc, want use android pay forget it, mention somewhere, think mention mention also reading, radio there, disabled. aren't deal breaker want awesome phone look great bright light, take nice pictures, fast plenty space stuff get update 8 reportedly, would buy unit, know shortcomings.",positive,['price']
"April 10, 2017",4," preordered phone week ago far work great. tmobile lte compatible. preordered felt great hardware specifications. plan buy oneplus 3t phone budget. love phone far donot complains it. screen size perfect me. many people mention don't love look phone, seem pretty decent except camera bump feel fine. one thing miss quality pictures. great specs camera, actual picture quality 100% natural. would call substandard, expect better. like front camera though. overall, feel great value money unless want phone take best picture videos, rest phone perfect buy want go android. well spend double money phone slightly well specs.",positive,['price']
"April 7, 2017",5, get phone week ago problem it. fast load switch apps. camera great too. work straight talk problem.,neutral, 
